v_g,i_ds,r
0.1163483,0.000700945,427.99363716126084
0.1662266,0.0007002464,428.42062451160047
0.09713861,0.0007012974,427.7785715446828
0.2717978,0.0006988918,429.2509942168444
0.3201224,0.0006982919,429.6197621653638
0.36858,0.000697706,429.980536214394
0.2982576,0.0006986583,429.39445505764405
0.4750195,0.0006965851,430.6724332748432
0.5264921,0.0006959887,431.041480989562
0.5746152,0.0006955249,431.32891432068067
0.4989708,0.0006965927,430.6677345312404
0.6790698,0.0006943819,432.03891115249405
0.7309241,0.0006938569,432.3658091459493
0.6473253,0.0006951317,431.5728947478585
0.823766,0.0006928609,432.987342769667
0.8786212,0.0006923986,433.2764393226676
0.7990239,0.0006934119,432.64328172043196
0.9808533,0.0006913971,433.90404732678223
0.8979945,0.0006923428,433.31135963282924
1.077556,0.0006901619,434.68061624381176
1.134106,0.0006896969,434.97368191737553
1.052954,0.0006908016,434.27809084402816
1.234957,0.0006887082,435.5981241402382
1.152133,0.000689817,434.8979511957519
1.333604,0.0006878632,436.13323114247135
1.384944,0.0006872963,436.49296526112533
1.435676,0.0006868339,436.7868272081503
1.352759,0.0006879157,436.0999465486832
1.532451,0.0006858906,437.3875367296184
1.45169,0.0006870381,436.6570063581627
1.630843,0.0006848729,438.0374811151091
1.683147,0.0006844483,438.3092192646252
1.73379,0.0006841167,438.5216732759191
1.652815,0.0006853607,437.7257114392465
1.832765,0.0006831874,439.11816874842833
1.88227,0.0006826274,439.47840359176905
1.801437,0.0006838303,438.7053337648244
1.984079,0.0006816855,440.08564066567357
1.90361,0.0006829922,439.2436692542023
2.081269,0.0006809079,440.58822052145376
2.129978,0.0006804845,440.86235615947163
2.052219,0.0006816246,440.1249602787223
2.229011,0.0006794632,441.52501562998555
2.281109,0.000679128,441.7429409478037
2.203499,0.0006802358,441.02353919038075
2.379827,0.0006781221,442.3982052789608
2.427549,0.0006777555,442.63749980634606
2.476545,0.0006774631,442.8285466765643
2.525779,0.0006770174,443.12007342795033
2.454114,0.0006780515,442.4442686138147
2.627038,0.0006759845,443.7971580709321
2.553142,0.0006771722,443.0187772031988
2.726807,0.0006750152,444.43443643935717
2.652024,0.0006761251,443.70487059273495
2.824821,0.0006740469,445.0728873613987
2.875732,0.0006735174,445.4227908588553
2.927124,0.0006731361,445.67510195932147
2.853268,0.000674295,444.9091273107468
3.025602,0.0006723416,446.2017522045341
2.951669,0.0006734251,445.48384074190284
3.129533,0.0006712407,446.93356645388155
3.180348,0.0006708414,447.1995914384533
3.106852,0.0006720856,446.37171217475867
3.279055,0.0006699195,447.8149986677504
3.33046,0.0006696272,448.01047508225474
3.380818,0.0006691736,448.31415943486115
3.431956,0.0006686812,448.64428669446664
3.481326,0.0006682213,448.95306390263227
3.407262,0.0006695652,448.0519596896613
3.581814,0.0006673526,449.5374708961949
3.509452,0.0006686029,448.69682736942957
3.685004,0.0006663034,450.2453386850495
3.734174,0.0006659853,450.46039304471134
3.78352,0.0006654147,450.84666749923014
3.707324,0.0006667239,449.96137081631537
3.885421,0.0006645626,451.42474162704906
3.937228,0.0006641657,451.69450936716544
3.98776,0.0006636006,452.07915725211825
3.908073,0.0006651734,451.01021778682065
4.085793,0.0006628891,452.5643882211972
4.13541,0.0006623188,452.9540758921534
4.186924,0.0006620312,453.1508484796487
4.238225,0.0006614897,453.5218008685547
4.158752,0.0006627681,452.64701182811905
4.338253,0.0006606065,454.1281383092658
4.257715,0.000661895,453.24409460715066
4.437597,0.0006595284,454.8704801794737
4.356719,0.0006610586,453.8175586854176
4.542395,0.0006586158,455.500763874781
4.591721,0.0006582972,455.72121528087916
4.640579,0.000657922,455.98110414304426
4.557889,0.0006593505,454.9932092263523
4.741137,0.0006570272,456.6021011002284
4.656209,0.0006583256,455.70155558283017
4.841541,0.0006559537,457.349352553389
4.758479,0.0006574371,456.3174180465325
4.938463,0.0006550886,457.95332112328015
4.857361,0.0006565034,456.966407180831
5.038087,0.0006541627,458.6015069339783
5.086708,0.0006537616,458.8828710649264
5.012504,0.0006551114,457.9373828634336
5.19386,0.0006528458,459.52658345967757
5.24154,0.0006524185,459.82754934141195
5.297003,0.000652067,460.0754216974636
5.2143,0.0006535354,459.0416984298019
5.396407,0.0006510934,460.76338663546585
5.445554,0.0006506544,461.07426615419797
5.362579,0.0006521182,460.03929962390254
5.544502,0.0006498371,461.65415917312197
5.597439,0.0006493911,461.97122196469894
5.513768,0.0006507811,460.9845000108331
5.697571,0.0006485832,462.5466709590998
5.612818,0.0006499726,461.5579179799272
5.79594,0.0006475056,463.31645625921993
