v_g,i_ds,r
0.1207189,0.0007526468,398.59333753893594
0.2142432,0.0007512615,399.32832974936156
0.1988734,0.0007517125,399.0887473601942
0.4130615,0.0007488292,400.6254029623845
0.513536,0.0007476903,401.23564529324506
0.6192321,0.0007465204,401.8644366583954
0.7156669,0.0007453201,402.51161883330394
0.8222014,0.0007441617,403.13818891781176
0.7986105,0.0007444032,403.007402439968
1.025921,0.0007417661,404.44015977543324
0.9966156,0.0007419881,404.3191528273836
1.228615,0.0007394439,405.7102912066757
1.197808,0.000739791,405.51993738772165
1.431254,0.0007372107,406.93929157566487
1.52963,0.0007359718,407.62431386637365
1.630106,0.0007348423,408.2508587216604
1.729882,0.000733758,408.8541453721799
1.830374,0.0007326138,409.4926958787836
1.927775,0.0007314181,410.1621220475676
1.903261,0.0007319839,409.8450799259382
2.128173,0.0007293092,411.3481634401431
2.226379,0.0007282075,411.970489180625
2.203143,0.0007283168,411.90866392207346
2.426931,0.0007258332,413.3181011835777
2.524829,0.0007246679,413.9827360919395
2.503292,0.0007249137,413.8423649601325
2.7248,0.0007224111,415.2760111244138
2.824102,0.0007211242,416.01710218572606
2.924964,0.0007199711,416.683391875035
3.025767,0.0007188505,417.3329503144256
3.001008,0.0007191726,417.1460369875048
3.227055,0.0007163997,418.76064437212915
3.326041,0.0007152563,419.43007003223875
3.301161,0.0007157028,419.16840342108486
3.529938,0.0007130346,420.7369460051448
3.502728,0.000713283,420.5904248383881
3.72834,0.0007105031,422.23601839316393
3.832614,0.0007093246,422.937538046756
3.808906,0.0007098045,422.6515892756385
4.040598,0.0007067994,424.4485776303715
4.139738,0.0007056713,425.1271094630035
4.109263,0.0007062461,424.7811067558461
4.339825,0.0007032296,426.60320327813275
4.440616,0.0007020704,427.30757485289223
4.409427,0.000702576,427.00006832001094
4.64276,0.0006994651,428.8991688077075
4.607268,0.0007001529,428.4778367696542
4.842222,0.0006971101,430.3480899215203
4.941956,0.0006959534,431.06334418367663
4.90682,0.0006966915,430.6066601932132
5.142722,0.0006935845,432.5356175058699
5.241,0.0006924648,433.2350178666121
5.341592,0.0006913185,433.9533803883449
5.442006,0.0006900692,434.7390087834669
5.54308,0.0006889871,435.4217952701872
5.507163,0.000689635,435.0127241221806
5.739813,0.0006865835,436.9461252709976
5.84213,0.0006853345,437.7424454773545
5.940237,0.0006843476,438.3737153458272
6.040665,0.0006831255,439.157958530314
6.008718,0.0006837493,438.75730476067764
6.244106,0.0006807831,440.66898840467684
6.20668,0.0006814208,440.256593282741
6.448489,0.0006780559,442.44139753079355
6.548069,0.0006769336,443.1749288261064
6.64854,0.0006758177,443.9066925888446
6.745938,0.0006748168,444.56510270639376
6.714109,0.0006755419,444.08792407991274
6.949368,0.0006723663,446.18536056908266
7.048198,0.0006711682,446.98184449144037
7.147703,0.0006700406,447.7340626821718
7.249488,0.0006689192,448.4846600306883
7.346238,0.0006677909,449.24242004495716
7.449698,0.0006666326,450.02299617510454
7.413279,0.0006674459,449.47463157688134
7.645788,0.0006643342,451.5799427456843
7.74875,0.0006633035,452.2816478429557
7.713516,0.000663989,451.8147137979695
7.948114,0.0006609405,453.89864897067133
8.04999,0.0006598916,454.62012245647617
8.147687,0.0006587061,455.4383206713889
8.247802,0.0006576502,456.1695563994354
8.348982,0.0006564393,457.011029047164
8.446852,0.0006554326,457.7129669778402
8.545376,0.0006543012,458.5044319038388
8.649007,0.0006532176,459.26502898880864
8.747269,0.0006520998,460.05228034113793
8.847962,0.0006510937,460.7631743326652
8.951109,0.0006498842,461.6207010418164
9.051558,0.000648807,462.38711974439235
9.154099,0.0006477789,463.1209815571331
9.117873,0.0006486339,462.5105163328651
9.350168,0.0006454429,464.79711838181197
9.452701,0.000644308,465.6158234881454
9.554053,0.0006432732,466.3648353452312
9.651914,0.0006422456,467.11102419385975
9.619232,0.0006430267,466.543613196777
9.854788,0.0006398601,468.85248822359756
9.950876,0.0006387364,469.6773191570106
10.05549,0.0006377886,470.375293631777
10.1537,0.0006365844,471.2650828389763
10.25195,0.0006356176,471.98189603308657
10.2195,0.0006363937,471.4063008480442
10.45317,0.0006333613,473.6632945524142
10.5508,0.0006322534,474.4932965168712
10.65515,0.0006313223,475.1930986755893
10.75421,0.0006302306,476.01623913532603
10.71708,0.0006311013,475.35950250775903
10.95676,0.0006279408,477.7520428677353
10.91828,0.0006287849,477.1106939749984
11.15473,0.0006256982,479.46438075097547
11.25634,0.0006246496,480.26925815689304
11.21839,0.0006254816,479.63041598665734
11.45832,0.0006222473,482.12342584692607
11.55836,0.0006213584,482.8131397274101
11.52127,0.0006222894,482.0908085530623
11.76232,0.000619157,484.52977193183636
11.86042,0.0006181307,485.33425050721473
11.82154,0.0006190664,484.60068257621475
12.05986,0.0006158607,487.123143269249
12.16017,0.0006149334,487.8577094690254
12.25921,0.0006138408,488.72606708449484
12.22429,0.0006149623,487.8347827175747
12.46117,0.0006116939,490.441379258482
12.5587,0.0006106615,491.2705320377983
12.52389,0.0006115974,490.5187628331971
12.75739,0.0006085002,493.0154501181758
12.85641,0.0006075663,493.77327215153304
12.96133,0.0006065518,494.5991422331942
13.05852,0.0006055256,495.4373522770961
13.02221,0.0006065133,494.6305381926496
13.26139,0.0006034099,497.17447459844453
13.36021,0.0006023148,498.0784134807911
13.32178,0.00060346,497.13319855499947
13.56042,0.0006001702,499.8582068886459
13.5234,0.0006012609,498.95145352042675
13.75882,0.0005982079,501.49789061628906
13.86176,0.000597205,502.34006748101575
13.96774,0.0005962788,503.1203524257445
14.06458,0.0005952519,503.9883115030796
14.02765,0.0005962644,503.1325029634504
14.26846,0.0005931018,505.81535918454466
14.36404,0.000592101,506.6703146929324
14.46595,0.0005910544,507.5674929414281
14.43008,0.0005920877,506.6816959717285
14.66739,0.0005889539,509.37772888506214
14.6279,0.0005900762,508.4089139673825
14.86711,0.000587051,511.0288543925485
14.96406,0.0005858936,512.0383632796126
15.06497,0.000585084,512.7468876263921
15.02987,0.0005860441,511.90686844215304
15.26353,0.0005829872,514.5910579168805
15.36239,0.0005820969,515.3781097270918
15.4637,0.0005810951,516.2666145352111
15.56339,0.0005800408,517.2049966140312
15.66426,0.0005793583,517.8142783144731
15.76066,0.0005784563,518.621717837631
15.86526,0.0005773818,519.5868660910337
15.96244,0.0005764293,520.4454388421962
16.06426,0.0005756051,521.1906565803534
16.16484,0.0005746229,522.0815251184733
16.12825,0.0005757362,521.0719770617168
16.36598,0.0005726266,523.9016140710194
16.47126,0.0005715188,524.9171155874487
16.43498,0.0005727474,523.7911162931512
16.67076,0.0005696038,526.6818795801573
16.7697,0.0005686171,527.5958109596071
16.7347,0.0005696453,526.6435095663916
16.97015,0.000566655,529.4226645842708
17.07011,0.0005657426,530.2764896969045
17.17086,0.0005648946,531.0725222014868
17.13404,0.0005659275,530.1032376055236
17.36956,0.0005628145,533.0353073703681
17.47092,0.0005620612,533.7497055480791
17.56785,0.0005612744,534.4979211594186
17.66898,0.0005603727,535.3579858547713
17.63488,0.0005612873,534.4856368565617
17.87066,0.0005582806,537.3641856801042
17.96954,0.0005575348,538.0830039667479
18.07052,0.0005566466,538.9415834031861
18.03415,0.0005578389,537.7896736853596
18.2713,0.0005546103,540.9203543461057
18.36943,0.0005537895,541.7220803211328
18.47113,0.0005528266,542.6656387373546
18.43268,0.0005540733,541.444606697345
18.67029,0.0005510083,544.4564083698921
18.6344,0.0005521839,543.2972602062465
18.86809,0.0005491013,546.3472769050082
18.97339,0.0005481758,547.2696897601098
19.07586,0.0005473364,548.1089874526891
19.17513,0.0005465188,548.9289663960325
19.27653,0.0005457358,549.7165478240569
19.23749,0.0005469247,548.5215789303354
19.47439,0.0005437791,551.6946127572759
19.57263,0.0005428821,552.6061736056503
19.67418,0.0005421259,553.3769923185739
19.77456,0.0005411397,554.3854941709137
19.8737,0.0005404066,555.1375575353817
19.83736,0.0005416621,553.8508232346328
20.07653,0.0005384935,557.1097886975423
20.17565,0.0005377488,557.8813007114103
20.27243,0.0005369802,558.6798172446581
20.37717,0.0005363098,559.3781802980293
20.47487,0.0005354009,560.3277842827683
20.57563,0.0005345672,561.2016599596833
20.54037,0.0005357903,559.9205510066158
20.77595,0.0005327627,563.1024844644717
20.73781,0.000534023,561.7735565696609
20.97713,0.0005309409,565.0346394485714
21.07596,0.0005302858,565.7326671768318
21.17501,0.0005294668,566.6077646417112
21.14037,0.0005307291,565.2601298854727
21.37596,0.0005275868,568.6268117397933
21.47973,0.0005267215,569.5609539386563
21.58137,0.0005260157,570.3251823091972
21.67678,0.0005252727,571.13190919688
21.78068,0.0005243644,572.121219518335
21.74335,0.0005256755,570.6942781240517
21.97846,0.0005225998,574.0530325499551
21.9449,0.0005239508,572.5728446258695
22.1815,0.0005207761,576.063302444179
22.27935,0.0005201954,576.706368414638
22.24501,0.0005214625,575.3050315219215
22.48085,0.000518478,578.6166433291288
22.57925,0.0005177649,579.4135523671072
22.54472,0.0005190041,578.0301157543842
22.78023,0.0005158581,581.5552765382572
22.87815,0.000515373,582.1026712691585
22.84494,0.0005165896,580.7317839925543
23.08139,0.0005135266,584.195638551148
23.17982,0.000513008,584.7862021644886
23.28052,0.000512162,585.7521643542473
23.24353,0.00051363,584.0780328251855
23.48187,0.0005105911,587.5543071549816
23.44466,0.0005118967,586.0557413243727
23.68306,0.0005088122,589.6085038841442
23.6429,0.0005101935,588.0121953729321
23.88357,0.0005071817,591.503991567519
23.85069,0.0005084699,590.0054260832352
24.08779,0.0005054213,593.5642205819184
24.18666,0.000504854,594.2312034766487
24.28613,0.0005041281,595.086843998579
24.24942,0.0005054174,593.568800757552
24.4869,0.0005024062,597.1263889657412
24.45078,0.0005037661,595.5144659396493
24.68752,0.0005008476,598.9846013038697
24.64859,0.0005022479,597.3145930525543
24.88685,0.0004992259,600.9303603839463
24.98494,0.0004988574,601.3742604600031
24.94823,0.0005001443,599.8268899595577
25.18357,0.0004971626,603.4243122873684
25.28526,0.0004966357,604.0645084515672
25.24824,0.0004981012,602.2872460455827
25.4847,0.0004950056,606.053749694953
25.44906,0.0004965804,604.1317780564839
25.68507,0.0004935102,607.8901712669768
25.78379,0.0004930053,608.5127279564742
25.88444,0.000492373,609.2941733198204
25.84774,0.0004938375,607.4872807350596
26.0853,0.000490752,611.3067292644757
26.04895,0.0004921929,609.5171222502397
26.28475,0.0004891709,613.2825971454965
26.38939,0.0004886145,613.9809604504164
26.48641,0.0004880638,614.6737373269642
26.59101,0.000487386,615.5285543696372
26.55375,0.0004889465,613.5640606896663
26.78842,0.0004859626,617.3314571944426
26.75436,0.0004873366,615.590948843161
26.9882,0.0004843646,619.3681371429705
26.95237,0.0004860204,617.2580410205003
27.19228,0.0004828517,621.3087786581262
27.29222,0.0004824816,621.7853696389666
27.25286,0.0004839167,619.9414072711274
27.49138,0.0004808984,623.832393703119
27.59053,0.0004805537,624.279867161568
27.55248,0.0004821123,622.2616597834157
27.7906,0.0004790482,626.2417852733817
27.89018,0.0004786534,626.7583182319398
27.98831,0.0004781086,627.4725031091263
27.95518,0.0004795245,625.6197545693702
28.19257,0.0004765927,629.468307005122
28.15296,0.0004781757,627.3844530368231
28.39068,0.0004751873,631.3300039794834
28.49043,0.0004746436,632.053186854305
28.45261,0.0004762574,629.9114722416912
28.69166,0.0004732785,633.8762483400366
28.7884,0.0004728432,634.4597955516755
28.896,0.0004723069,635.1802186247967
28.99147,0.0004718243,635.8299053270465
29.09284,0.000471344,636.4778166264978
29.19553,0.0004708077,637.202832494031
29.15819,0.0004723078,635.1790082653727
29.38994,0.0004694416,639.0571265946605
29.35935,0.0004709361,637.0291001263229
29.59604,0.0004679551,641.0871470361152
29.55742,0.000469578,638.8714973870156
29.79832,0.0004666173,642.925155153913
29.75856,0.000468298,640.6177263195657
29.99354,0.0004652831,644.7687440184266
30.09415,0.0004648517,645.3671138558814
30.05825,0.0004664221,643.1942225722152
30.29676,0.0004634997,647.2496098702976
30.25945,0.0004651255,644.9872131284997
30.49717,0.0004621049,649.2032436790867
30.45781,0.0004637245,646.9358422942933
30.69412,0.000460832,650.9964585792653
30.79498,0.0004605079,651.4546221682624
30.89465,0.000460162,651.9443152628857
30.85979,0.0004616813,649.7988980710286
31.09404,0.0004587511,653.9493856254513
31.19161,0.0004583357,654.5420747281959
31.29718,0.0004578898,655.1794776821846
31.26202,0.0004595362,652.8321381427622
